4.39   0    0    20250605_005214
4.51   0    0    20250605_012231
4.61   1    0    20250605_015754
4.82   0    0    20250605_022832
4.64   0    0    20250605_025535
4.95   0    0    20250605_032758
5.04   3    0    20250605_035638
4.72   1    0    20250605_043337
4.39   1    0    20250605_090312
4.37   3    0    20250605_094345
4.17   2    0    20250605_102317
4.60   0    0    20250605_105222
4.19   1    0    20250605_112322
4.72   0    0    20250605_115330
4.57   1    0    20250605_122342
4.54   1    0    20250605_123331
4.53   1    0    20250605_130703
4.76   0    0    20250605_133134
4.34   2    0    20250605_140702
5.09   0    0    20250605_150115
4.39   1    0    20250605_181358
4.02   1    0    20250605_185401
4.29   2    0    20250605_192903
4.04   0    0    20250605_200347
3.94   1    0    20250605_203253
3.93   1    0    20250605_210247
3.77   1    0    20250605_213404
4.06   1    0    20250605_220330
4.35   2    0    20250605_223730
